Asset Types,Domains,Disciplines,Region,Subregion,Metadata Standards,Access Protocols,,,,,,,,,,,,,,,,,,,
Sites,Atmosphere,Biology,Arctic,Arctic:  Land,custom schema,file download,,,,,,,,,,,,,,,,,,,
Mobile Platforms,Land,Cryosphere,Subarctic,Alaska,ISO 19115,API,,,,,,,,,,,,,,,,,,,
Projects,Ocean,Data Management,Antarctic,Canadian Arctic,OGC SensorML,OGC WMS,,,,,,,,,,,,,,,,,,,
Campaigns,,Education and Outreach,Southern Ocean,Greenland,OGC O&M,OGC WFS,,,,,,,,,,,,,,,,,,,
Initiatives,,Geological Sciences,Global,Iceland,INSPIRE EF,OGC WCS,,,,,,,,,,,,,,,,,,,
,,Instrument Development,Other,Svalbard,WMO WIGOS,OGC CSW,,,,,,,,,,,,,,,,,,,
,,Meteorology and Climate,,Scandinavia,EML,OGC API,,,,,,,,,,,,,,,,,,,
,,Oceanography,,Russian Arctic,schema.org,OData,,,,,,,,,,,,,,,,,,,
,,Social and Human Sciences,,,FGDC,OAI-PMH,,,,,,,,,,,,,,,,,,,
,,Space Physics,,Arctic:  Ocean,,OpenSearch,,,,,,,,,,,,,,,,,,,
,,,,Sea of Okhotsk,,DCAT-AP,,,,,,,,,,,,,,,,,,,
,,,,Gulf of Alaska,,OPeNDAP,,,,,,,,,,,,,,,,,,,
,,,,Bering Sea,,ArcGIS Feature Service,,,,,,,,,,,,,,,,,,,
,,,,Chukchi Sea,,ArcGIS Map Service,,,,,,,,,,,,,,,,,,,
,,,,Beaufort Sea,,,,,,,,,,,,,,,,,,,,,
,,,,Canadian Arctic Archipelago,,,,,,,,,,,,,,,,,,,,,
,,,,Hudson Bay,,,,,,,,,,,,,,,,,,,,,
,,,,Labrador Sea,,,,,,,,,,,,,,,,,,,,,
,,,,Baffin Bay,,,,,,,,,,,,,,,,,,,,,
,,,,Greenland Sea,,,,,,,,,,,,,,,,,,,,,
,,,,Norwegian Sea,,,,,,,,,,,,,,,,,,,,,
,,,,Barents Sea,,,,,,,,,,,,,,,,,,,,,
,,,,Kara Sea,,,,,,,,,,,,,,,,,,,,,
,,,,Laptev Sea,,,,,,,,,,,,,,,,,,,,,
,,,,East Siberian Sea,,,,,,,,,,,,,,,,,,,,,
,,,,Central Arctic Ocean,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Subarctic,,,,,,,,,,,,,,,,,,,,,
,,,,Canadian Subarctic,,,,,,,,,,,,,,,,,,,,,
,,,,European Subarctic,,,,,,,,,,,,,,,,,,,,,
,,,,Russian Subarctic,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Antarctic:  Land,,,,,,,,,,,,,,,,,,,,,
,,,,Antarctic Peninsula,,,,,,,,,,,,,,,,,,,,,
,,,,East Antarctica,,,,,,,,,,,,,,,,,,,,,
,,,,Transantarctic Mountains,,,,,,,,,,,,,,,,,,,,,
,,,,West Antarctica,,,,,,,,,,,,,,,,,,,,,
,,,,Dronning Maud Land,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Southern Ocean,,,,,,,,,,,,,,,,,,,,,
,,,,Ross Sea,,,,,,,,,,,,,,,,,,,,,
,,,,Amundsun Sea,,,,,,,,,,,,,,,,,,,,,
,,,,Bellinghausen Sea,,,,,,,,,,,,,,,,,,,,,
,,,,Scotia Sea,,,,,,,,,,,,,,,,,,,,,
,,,,Weddell Sea,,,,,,,,,,,,,,,,,,,,,
,,,,East Antarctic Seas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,if a network spans too many subregions to delineate separately,,,,,,,,,,,,,,,,,,,,,
,,,,multiple,,,,,,,,,,,,,,,,,,,,,
